 frequency       gain_vv         gain_db         phase_deg      
 1.00000000e+00  6.79412426e+01  3.66426697e+01 -2.18521849e+00 
 1.04712855e+00  6.88411746e+01  3.67569654e+01 -2.22548156e+00 
 1.09647820e+00  6.96797415e+01  3.68621306e+01 -2.26426472e+00 
 1.14815362e+00  7.04597886e+01  3.69588267e+01 -2.30159679e+00 
 1.20226443e+00  7.11842462e+01  3.70476778e+01 -2.33750922e+00 
 1.25892541e+00  7.18560848e+01  3.71292710e+01 -2.37203567e+00 
 1.31825674e+00  7.24782774e+01  3.72041573e+01 -2.40521153e+00 
 1.38038426e+00  7.30537670e+01  3.72728523e+01 -2.43707357e+00 
 1.44543977e+00  7.35854403e+01  3.73358379e+01 -2.46765959e+00 
 1.51356125e+00  7.40761067e+01  3.73935630e+01 -2.49700808e+00 
 1.58489319e+00  7.45284816e+01  3.74464455e+01 -2.52515799e+00 
 1.65958691e+00  7.49451739e+01  3.74948734e+01 -2.55214842e+00 
 1.73780083e+00  7.53286770e+01  3.75392068e+01 -2.57801846e+00 
 1.81970086e+00  7.56813630e+01  3.75797789e+01 -2.60280697e+00 
 1.90546072e+00  7.60054790e+01  3.76168980e+01 -2.62655246e+00 
 1.99526231e+00  7.63031461e+01  3.76508489e+01 -2.64929288e+00 
 2.08929613e+00  7.65763600e+01  3.76818944e+01 -2.67106560e+00 
 2.18776162e+00  7.68269925e+01  3.77102766e+01 -2.69190723e+00 
 2.29086765e+00  7.70567949e+01  3.77362188e+01 -2.71185359e+00 
 2.39883292e+00  7.72674019e+01  3.77599262e+01 -2.73093963e+00 
 2.51188643e+00  7.74603357e+01  3.77815875e+01 -2.74919938e+00 
 2.63026799e+00  7.76370115e+01  3.78013762e+01 -2.76666593e+00 
 2.75422870e+00  7.77987423e+01  3.78194515e+01 -2.78337138e+00 
 2.88403150e+00  7.79467446e+01  3.78359596e+01 -2.79934684e+00 
 3.01995172e+00  7.80821440e+01  3.78510346e+01 -2.81462241e+00 
 3.16227766e+00  7.82059801e+01  3.78647993e+01 -2.82922718e+00 
 3.31131121e+00  7.83192126e+01  3.78773663e+01 -2.84318923e+00 
 3.46736850e+00  7.84227263e+01  3.78888387e+01 -2.85653565e+00 
 3.63078055e+00  7.85173356e+01  3.78993111e+01 -2.86929255e+00 
